# [0]Expt No., [1]Material, [2]Tube No., [3]Alpha, [4]Alpha-True, [5]Mean Radius, [6]Thickness
# [7]Eccentricity, [8]Sigma at LL, [9]Tau at LL, [10]delta at fail, [11]Phi, [12]Lg
1, 6061, 1, 1.5, 1.50, 0.8339, 0.0394, 5.11, 31.9194, 21.3517, 0.0399, 7.4704, 0.6869
2, 6061, 1, 1.0, 1.00, 0.8337, 0.0386, 3.60, 24.4061, 24.1277, 0.0337, 11.4815, 0.6578
3, 6061, 1, 2.0, 1.99, 0.8335, 0.0390, 4.76, 36.4679, 18.2253, 0.0432, 5.0797, 0.6532
4, 6061, 1, 0.5, 0.49, 0.8334, 0.0392, 4.25, 13.0449, 26.2431, 0.0278, 24.0839, 0.6533
5, 6061, 1, 3.0, 3.00, 0.8335, 0.0387, 3.11, 41.5846, 13.4608, 0.0451, 3.0497, 0.6580
7, 6061, 1, 4.0, 4.16, 0.8332, 0.0388, 3.50, 43.4375, 10.4440, 0.0448, 2.2539, 0.6571
8, 6061, 2, 0.0, 0.00, 0.8340, 0.0391, 6.58, -0.0059, 29.9328, 0.0047, 36.2085, 0.6564
9, 6061, 2,        ,          , 0.8333, 0.0389, 5.75, 46.8908, -0.0314, 0.0431, 0.0156, 0.6589
